Date,Open,High,Low,Close,Volume
2025-12-17,274.50001118897205,275.6478724530811,271.13626563598973,271.3358764648437,50138700
2025-12-18,273.1025913325419,273.12257373871984,266.4549687260805,271.68524169921875,51630700
2025-12-19,271.6453053723066,274.09077415448866,269.399477884542,273.1625061035156,144632000
2025-12-22,272.3539780142796,273.37210596231955,270.00836035897595,270.4674987792969,36571800
2025-12-23,270.3377490962612,271.99467443806464,269.06012395403746,271.8549194335937,29642000
2025-12-24,271.8349404799371,274.9192064044749,271.69521595033444,273.3022155761719,17910600
2025-12-26,273.65157518449314,274.859322715931,272.35396775197984,272.8929748535156,21521800
2025-12-29,272.1843267483383,273.8512128461511,271.8449608988494,273.2523498535156,23715200
2025-12-30,272.304089543875,273.5717234473003,271.77507361210075,272.5735778808594,22139600
2025-12-31,272.553621806917,273.17246717497864,271.24605357156486,271.3558349609375,27293600
2026-01-02,271.75509761912826,277.32473598417806,268.5011336129586,270.5074157714844,37838100
2026-01-05,270.1381104139889,271.0064921177503,265.6464557026853,266.7643737792969,45647200
2026-01-06,266.504853430471,267.0538212812338,261.6338984265986,261.8734436035156,52352100
2026-01-07,262.71190159101934,263.1909919246956,259.32817380451803,259.8471984863281,48309800
2026-01-08,256.5433578451618,258.80916773471864,255.2258136413284,258.55963134765625,50419300
2026-01-09,258.5995368285105,259.7274461787287,255.74485516422808,258.8890075683594,39997000
2026-01-12,258.6794199598783,260.8154357257053,256.32378048041085,259.76739501953125,45263800
2026-01-13,258.24022168851656,261.3244878277737,257.9108470550362,260.5658874511719,45730800
2026-01-14,259.0087756526009,261.334471811998,256.2339322781376,259.4779052734375,40019400
2026-01-15,260.1666175851947,260.5559089501236,256.5732877053955,257.73114013671875,39388600
2026-01-16,257.4217372195352,258.41988279267105,254.45724364888235,255.0561370849609,72142800
2026-01-20,252.26132447540704,254.31750190322293,242.9685916985444,246.2425079345703,80267500
2026-01-21,248.2388060412761,251.09350304772093,244.7253292878456,247.1907501220703,54641700
2026-01-22,248.737864640942,250.5345296526772,247.68980878155543,247.8894500732422,39708300
2026-01-23,246.8613663013417,248.9474868587461,244.22624741136653,247.5800170898437,41689000
2026-01-26,251.0136357054716,256.0842168676608,249.336758511775,254.9363555908203,55969200
