Date,Open,High,Low,Close,Volume
2025-12-24,147.57156166462755,148.17017012162358,147.29679204244786,147.68931579589844,2227600
2025-12-26,147.57153903220342,148.31734003890773,146.8551615799829,147.21826171875,3706900
2025-12-29,148.1799586085529,148.8080055162854,147.28694996626814,148.17015075683594,5589100
2025-12-30,148.67061442298714,149.81876192563314,148.64117589526433,149.46548461914062,5150500
2025-12-31,149.54399847316552,149.70101394332772,148.83744383125492,149.56362915039062,4953100
2026-01-02,149.328113728916,152.9884490966797,148.42529718915281,152.9884490966797,6862100
2026-01-05,162.65450347520422,162.65450347520422,156.3347725582447,160.7899932861328,35094900
2026-01-06,161.80075697762894,161.96758031342222,153.19453858874815,153.6165008544922,20564900
2026-01-07,154.49970076140028,155.05904782809023,152.00712864480698,152.30152893066406,13537900
2026-01-08,152.59591315492543,157.44365710048137,152.31133572530334,156.27587890625,12929600
2026-01-09,157.56143329518417,159.66146677930763,156.95301699731752,159.08248901367188,12549600
2026-01-12,159.66144381368287,160.50538322182595,157.70861824542845,159.30816650390625,9796800
2026-01-13,160.41707711771627,163.02740322900013,160.2502537912715,160.80960083007812,12068600
2026-01-14,161.03532620739577,166.20689457035309,161.03532620739577,164.11668395996094,16414900
2026-01-15,162.67412313536838,164.2049865509261,162.01663769272858,163.0568389892578,8097400
2026-01-16,163.47880706871345,164.16573106514758,162.71337533356967,163.15496826171875,9745800
2026-01-20,163.5965767072308,164.5190089490385,162.0656982580369,162.21290588378906,11142500
2026-01-21,163.88114214780023,165.3334977777581,162.95869499978,163.61618041992188,10918500
2026-01-22,163.15497715419784,164.4307017735753,162.63487645899193,163.54751586914062,8957400
2026-01-23,164.81340894256584,165.29426322774836,163.3316146783309,163.60638427734375,8368700
2026-01-26,165.1863118326778,165.26481956907674,163.65544840744766,164.37181091308594,8912600
2026-01-27,164.63677419547037,166.18726831279383,163.53768084939895,165.8928680419922,9784900
2026-01-28,166.78587745384527,167.23727822712036,165.05873717677235,166.7564239501953,9200200
2026-01-29,169.42562971609135,171.65324000810506,167.84569703786806,167.99290466308594,16786600
2026-01-30,169.39620077265147,173.98880641583827,168.07142191363636,173.5962677001953,22946600
2026-02-02,170.20088372481553,172.97803320479827,169.4256291664487,170.7798614501953,14235300
2026-02-03,170.6326682517492,175.48041252410187,170.505091305481,174.7149658203125,18425400
2026-02-04,175.53927977726886,179.17998421726975,175.53927977726886,177.8453826904297,16170500
2026-02-05,176.28508273099644,177.08977578087993,174.09673390749023,175.8827362060547,10474100
2026-02-06,176.9327606348942,178.6991472333865,176.15750611236345,177.4822998046875,9901800
2026-02-09,177.62950235221538,179.40571187522434,176.58930101228074,179.1898193359375,12021300
2026-02-10,179.31737899860084,179.5332715351048,177.48230741213712,178.8561553955078,7458200
2026-02-11,180.5047761187025,183.03659435681914,180.1220602788604,182.34967041015625,10502100
2026-02-12,182.33005712163924,182.33005712163924,178.68933739639448,178.99354553222656,9673700
2026-02-13,179.13093157289887,181.38798046319917,178.32625343131178,180.30853271484375,9034700
2026-02-17,181.63635668483803,182.13181864245064,177.11774605065898,178.91131591796875,9849000
2026-02-18,181.56699639220273,182.25073635678643,180.32834141876847,182.20118713378906,10313400
2026-02-19,183.6082862875786,186.19459832082563,183.06329022840052,183.10292053222656,10773300
2026-02-20,182.9146488136793,183.2119290235714,180.66526232749803,182.26063537597656,9566200
2026-02-23,182.99392329792755,184.93614088506752,182.37955528988812,183.23175048828125,7047200
2026-02-24,183.6082876936762,184.2722200303141,182.18136994052537,183.6578369140625,7451800
2026-02-25,184.15329604821048,184.29202479098134,180.85351760912607,182.54800415039062,9440700
2026-02-26,181.23998207030823,184.56948710419576,180.11032938668384,182.48855590820312,7133800
2026-02-27,184.31185988516037,185.84779507493005,182.1021036481782,185.06495666503906,12035500
2026-03-02,188.60255113468745,189.70247728852206,185.52077714477602,187.87918090820312,15809100
2026-03-03,188.79083381887224,189.82138806646853,185.71896354802476,187.0567169189453,14004200
2026-03-04,185.74869346211233,186.74953633969648,182.4786413668101,184.34158325195312,11054400
2026-03-05,184.90641568788223,188.24582457117629,184.79741344823438,188.17645263671875,13567200
2026-03-06,189.14756589052155,190.6636783041667,186.41260614802502,188.21609497070312,13073100
2026-03-09,189.2664657023602,189.9105601919712,186.4026962240317,187.7206268310547,15987500
2026-03-10,186.91798613888145,187.4629822052631,183.95511813877917,184.59921264648438,11999600
2026-03-11,184.89649953852626,190.1186730829567,184.79741621391776,190.04930114746094,11371700
2026-03-12,190.8321411033115,197.07496517587037,190.02949510203823,195.1822967529297,27151800
2026-03-13,194.22109598446244,195.8363068762985,192.92298801728361,195.03366088867188,13017000
2026-03-16,194.81565472573533,196.0443907474224,193.80490806249313,195.053466796875,12683900
2026-03-17,195.69757850583017,198.7595299165207,194.67692803559999,196.1732177734375,14018600
2026-03-18,197.41186777031933,198.90815747060483,196.70830512271795,196.80740356445312,13305000
2026-03-19,197.97669124789388,200.6026488131774,197.19386797269294,199.61172485351562,16918400
2026-03-20,199.57207166074284,203.218679552934,199.17570814042384,199.89907836914062,35849500
2026-03-23,196.82722247376194,203.49613620154093,195.57864866134068,203.34750366210938,15735700
2026-03-24,204.17988816660042,207.88593415781088,203.94206096918322,204.9131622314453,16695500
2026-03-25,204.13033155791385,205.35908268632753,202.76285168276794,203.2880401611328,8865000
2026-03-26,204.16006252348856,207.31120858276964,203.2979635157106,205.90408325195312,11085600
2026-03-27,206.260809756214,210.531704590903,204.378060339389,209.23358154296875,13907800
2026-03-30,211.32443613941473,212.76128796319327,208.38139079821107,208.79759216308594,10409000
