Date,Open,High,Low,Close,Volume
2025-12-24,68.9773127247448,69.233882800115,68.82929123785102,69.18453979492188,4515300
2025-12-26,69.02665403409692,69.23388865047116,68.80956436748532,68.94771575927734,5711400
2025-12-29,69.07598750414854,69.490441622289,68.92796602518833,69.23387908935547,9686900
2025-12-30,69.07599724091826,69.3128271234264,68.87864026027583,69.14507293701172,8610900
2025-12-31,69.14506668168093,69.2338825850155,68.95757229695229,68.9871826171875,8127800
2026-01-02,68.92797078737598,68.94771100123326,68.0694597017261,68.20761108398438,12151300
2026-01-05,68.01024198336809,68.01024198336809,67.02344216052634,67.04318237304688,21186600
2026-01-06,67.11226549444879,67.34909537013587,66.69780380113889,66.94450378417969,21019900
2026-01-07,67.09251729332391,67.17146308538422,66.38202022215133,66.6484603881836,20223400
2026-01-08,66.64846204351811,68.54311592791208,66.55964614307308,68.45430755615234,19237000
2026-01-09,68.51351610046417,69.72728326780512,68.20761054625903,69.57926177978516,19638600
2026-01-12,69.96411846121707,70.03319415706375,69.31282687578879,69.56939697265625,20582500
2026-01-13,69.49045352040655,70.29962921142578,69.34243201610218,70.29962921142578,18324800
2026-01-14,70.23055380396659,70.76342670445631,69.8753052036401,70.49699401855469,16739100
2026-01-15,70.64500068317753,70.65487079013353,69.441111138545,69.5496597290039,15464100
2026-01-16,69.36217136863179,69.80622834733131,69.11547137409065,69.51019287109375,20027500
2026-01-20,69.07599472418063,70.83249738543434,68.86876764345041,70.80289459228516,22152200
2026-01-21,71.02986070831885,71.28642326380957,69.89503930809639,71.05946350097656,21660600
2026-01-22,70.88183752597381,71.08906459832171,70.49698617322974,70.92131042480469,13962800
2026-01-23,71.06932783504202,72.0956006684145,70.83249795924407,71.91797637939453,18307100
2026-01-26,71.89823871049093,72.33243305993389,71.582463055083,71.6021957397461,14017400
2026-01-27,71.48379115701083,72.58900228836966,71.31602944284143,72.57913970947266,13239200
2026-01-28,72.24361780016629,72.64820936187252,71.61206648372996,72.09559631347656,14633700
2026-01-29,72.21401627497787,73.11200026025516,72.17454337592267,72.4607162475586,20862100
2026-01-30,72.737016175551,73.91131040841778,72.56926200762301,73.82249450683594,26420500
2026-02-02,74.01986427962527,74.70075110650464,73.41791572472846,74.33563995361328,19301500
2026-02-03,74.27641971582645,76.47698664414396,74.13826834224798,75.87503814697266,27007100
2026-02-04,76.25001844126345,77.07893420131059,76.06253159579924,76.32896423339844,28607300
2026-02-05,76.79276898046798,77.81904179412463,76.56580168770265,77.47366333007812,21633500
2026-02-06,77.46379078487288,78.15454769122553,77.2269609210785,77.9867935180664,18512400
2026-02-09,77.63155287523655,78.06574727704532,76.5164716044934,76.9407958984375,23415600
2026-02-10,75.61847252120707,76.48686123887099,75.00666141051002,75.79609680175781,28848200
2026-02-11,75.86517247503785,78.00653394803875,75.56913702664558,77.56246948242188,22649700
2026-02-12,77.93745878206704,79.34858292876153,77.74996439340934,77.95719146728516,26043500
2026-02-13,77.41445116149315,78.35191560814155,77.09867548640923,77.64141845703125,16711900
