Date,Open,High,Low,Close,Volume
2025-12-17,654.4426118233187,660.0526000253047,648.0440522221027,648.343505859375,15598500
2025-12-18,655.8601356908653,669.366012780715,655.2911433094866,663.2669067382812,20260300
2025-12-19,665.2333263832898,669.8051880946751,657.0080086354003,657.5969848632812,49977100
2025-12-22,660.4718397886508,672.380589007267,655.4807431709672,660.3220825195312,15659400
2025-12-23,658.8746741689592,664.8140915262984,657.0778915122911,663.7559814453125,8486800
2025-12-24,661.3503688947783,666.9902722948509,661.0209394131572,666.3613891601562,5627500
2025-12-26,666.8704124858896,667.7588423243637,660.1424238558649,662.10888671875,7133800
2025-12-29,656.8383689858442,659.0743707339258,653.2248195668056,657.5171508789062,8506500
2025-12-30,657.5171386037911,671.0230153954109,656.6686764849229,664.7642211914062,9187500
2025-12-31,663.5663484641349,663.8159033150052,658.2658058687088,658.9146728515625,7940400
2026-01-02,661.5499631466852,663.2070415689074,642.3542224297569,649.2518920898438,13726500
2026-01-05,649.8508280292294,663.3567049684374,646.5966230035071,657.616943359375,12213700
2026-01-06,658.3956073528642,664.3350252422523,650.7392812609531,659.4437255859375,11074400
2026-01-07,654.4726104611178,657.9763704555172,643.6618768302103,647.5349731445312,12846300
2026-01-08,644.7299347572825,645.9477331499952,634.5879917891143,644.9096069335938,11921700
2026-01-09,644.2906685217797,653.7837438291153,641.7052537227476,651.8970947265625,11634900
2026-01-12,651.3681600668523,652.8055375702352,640.0882316599212,640.826904296875,14797200
2026-01-13,641.1263941859123,641.1263941859123,622.9887038024194,629.96630859375,18030400
2026-01-14,625.3844405077801,627.3309804807691,613.7252454803604,614.4240112304688,15527900
2026-01-15,617.378703801015,623.0585745209008,613.1362714280776,619.694580078125,13076100
2026-01-16,623.0685636897582,627.9598630097294,618.9758886129073,619.1455688476562,17012500
2026-01-20,606.7976262932837,610.3113781504126,598.9316523845154,603.0443115234375,15169600
2026-01-21,605.659634898437,617.169133937088,599.0115204374271,611.8685913085938,14494700
2026-01-22,628.2293275614567,659.3937675491238,625.4343255489129,646.476806640625,21394700
2026-01-23,643.6219561683764,665.3032527677875,643.3025186421843,657.5870361328125,22797700
2026-01-26,663.9456740004919,674.0776252750454,660.1124846991261,671.1627807617188,16327400
2026-01-27,673.3888389297905,675.6148486525956,663.4764668627315,671.7716674804688,13297400
2026-01-28,673.2989910894674,676.4733214975852,664.9139236867763,667.5392456054688,25709600
2026-01-29,736.1169233837337,742.6752321400184,711.2812198864386,736.995361328125,59852900
2026-01-30,726.2045952530067,730.8662626744616,712.3193905555435,715.2241821289062,23744600
2026-02-02,713.3275184694113,720.0156002559207,702.2672920108814,705.152099609375,14365200
2026-02-03,706.1104025957663,715.7232596178901,685.1877035052055,690.4683227539062,13760700
2026-02-04,686.5053883494637,687.603466213174,666.2715231343633,667.7987670898438,16882800
2026-02-05,662.3984025060512,680.2864759062725,652.3363345630947,669.0166015625,17131800
2026-02-06,664.3050190645899,670.7934451675868,645.3488423980709,660.2822265625,18159300
2026-02-09,661.9991209626965,682.0932819515241,657.6069922476072,676.0140991210938,14837500
2026-02-10,676.3934502400131,679.4380681924739,668.597359057372,669.5256958007812,10455800
2026-02-11,672.7998711552045,678.0605068549233,655.9299390360635,667.4993286132812,14323800
2026-02-12,668.7770306530766,674.7963229561075,644.1310518439949,648.6529541015625,14960100
2026-02-13,643.9513250294082,650.2700710327099,633.4401061931457,638.630859375,12336400
2026-02-17,638.3612593202278,641.4557148619026,627.6803003409905,638.151611328125,12674700
2026-02-18,632.67143641335,643.8515057528024,627.0315334227189,642.0746459960938,14649200
2026-02-19,637.432932921519,646.0375787806976,635.5861905818066,643.6318969726562,10035700
2026-02-20,638.5509584025834,662.1688021543367,637.6426055733327,654.4924926757812,14183500
2026-02-23,651.3780476889771,656.5288937722072,634.8675211939732,636.1152954101562,8605900
2026-02-24,631.9527259539814,639.9683956881865,627.8599900449855,638.16162109375,10135600
2026-02-25,641.3859599741169,652.7157261405878,640.9966397738364,652.5260620117188,11330700
2026-02-26,649.3916295582877,659.823034651462,646.3470725216666,655.8401489257812,10637700
2026-02-27,642.3043203814821,648.2836451675449,636.983793627941,647.02587890625,15703000
2026-03-02,636.0254184162494,658.764884603327,633.3701817354564,652.396240234375,9816100
2026-03-03,647.1356255764312,657.866484005116,637.7025010942567,653.91357421875,12263800
2026-03-04,656.788453587829,671.5720803574089,656.4989309709863,666.541015625,10810100
2026-03-05,660.751362594833,669.5057662619517,649.1520579976961,659.393798828125,13341400
2026-03-06,646.7463568472266,648.3135076492586,634.9773114336934,643.7117309570312,13159400
2026-03-09,633.6497720389343,646.596649067328,625.6640164348609,646.2373046875,13489700
2026-03-10,652.3962328583322,659.1242214972237,647.8443550809549,652.9053344726562,9859300
2026-03-11,653.5941111270305,657.9463328691638,647.2054829186618,653.6939086914062,8977200
2026-03-12,647.5948263527883,652.336368433984,635.7659510050273,637.0436401367188,11617500
2026-03-13,622.7790526456299,628.0496188589474,608.4645611002024,612.6171875,18957600
2026-03-16,631.4147932406764,634.1622468505053,622.5230098937741,626.8690185546875,15134900
2026-03-17,627.4085169382369,635.9605885584036,621.1243629754691,622.0834350585938,10348800
2026-03-18,615.769347359454,622.0735023862151,614.04090772979,615.1099243164062,11726300
2026-03-19,611.5832104537112,612.4323990135786,601.7023533616688,606.1382446289062,13247700
2026-03-20,602.9712077810872,603.400802317344,586.7062525156723,593.1102905273438,21214900
2026-03-23,605.2290499891692,608.0764476338709,598.4553596033379,603.5006713867188,13638000
2026-03-24,598.5452420228083,600.443507118967,590.4527665679026,592.3709716796875,10739700
2026-03-25,598.1855830392399,603.1110107561809,592.850561795072,594.3391723632812,12585000
2026-03-26,581.9506076701073,582.460145169462,542.8468364624507,547.032958984375,35780100
2026-03-27,539.599843303006,543.0966023049141,519.7782492802263,525.233154296875,30133000
2026-03-30,535.8833618164062,539.0504095872608,528.0505941707193,535.8833618164062,22795200
2026-03-31,549.4707059552647,573.1587727471259,546.2637174010383,571.6002197265625,32898300
2026-04-01,579.5928556215499,592.0013387220274,573.2887005646345,578.6936645507812,23608100
2026-04-02,565.5158531822124,577.9643377947169,559.1817578546791,573.9281005859375,13518500
2026-04-06,577.1550997330287,582.2503530791108,571.4703658572956,572.4894409179688,9515700
2026-04-07,571.9498894780604,574.6973431004155,564.2370671243236,574.5175170898438,9580800
2026-04-08,605.4388670235439,629.3667024291958,591.2820049792073,611.8529052734375,32036600
2026-04-09,626.3894374266143,636.9097166035551,622.4231426572783,627.8081665039062,19012900
2026-04-10,633.882449891805,637.9886903650855,623.7518859014353,629.2767333984375,13294800
2026-04-13,628.9171329935918,634.4120404303904,623.8218795800174,633.9425048828125,9538900
2026-04-14,642.624350345733,665.6430543798978,638.7779398291946,661.8765258789062,17818000
2026-04-15,666.3824145357423,677.8717665104965,663.6049593103575,670.9581909179688,14952600
2026-04-16,675.3640350842893,676.9525896021297,667.131674939706,676.2432250976562,9544800
2026-04-17,677.9716157075654,690.8796961433965,674.5048580761284,687.9124145507812,16283500
2026-04-20,680.7290935491282,682.7472426832454,667.381478611767,670.2887573242188,12534000
2026-04-21,670.3786762058809,675.5738733736962,666.7120915784461,668.220703125,8660100
2026-04-22,673.7355628200382,677.7518600207422,669.1298460769134,674.09521484375,9215600
2026-04-23,663.0854475032797,668.9400066983026,652.4452846667049,658.5396728515625,11667000
2026-04-24,659.7085674039201,680.0396994180859,653.2345872360809,674.4049682617188,13348300
2026-04-27,670.3786986745525,681.8680504402118,670.2188736545023,677.9916381835938,12805200
2026-04-28,673.6156618787633,677.5520159823654,665.0136491453696,670.7183837890625,10606800
2026-04-29,668.290599742094,673.6256820299297,663.1953464496755,668.5004272460938,18947500
2026-04-30,618.7465567527638,620.2751083620838,599.4444385151393,611.3433837890625,52765000
2026-05-01,614.120842749119,618.3069655430758,605.548770151405,608.1863403320312,21404000
2026-05-04,607.3771038685389,613.4314904063681,602.1919069095087,609.8447875976562,16203900
2026-05-05,612.7420849871345,613.7811000159977,599.8040642277598,604.3998413085938,17171300
2026-05-06,600.4934370812971,619.3759607512419,597.5461564796674,612.3125,19915500
2026-05-07,614.150739078972,624.4012480600104,612.9718390781961,616.2388305664062,12307400
2026-05-08,614.6303402495529,616.1988937552933,605.4987892063378,609.0654907226562,13557000
2026-05-11,604.010215830275,604.3498668649182,597.5262348938886,598.3054809570312,15940600
2026-05-12,594.2692320029287,603.1909559259367,592.0512559095129,602.441650390625,11351600
2026-05-13,598.275515544453,619.3260125714435,596.1074810052941,616.0590209960938,14634400
2026-05-14,615.429618202359,623.152441138389,614.4305441468357,617.8573608398438,10651200
2026-05-15,613.421486859321,620.6248329546977,608.7458274653094,613.6612548828125,13272600
