Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,24.648441478964468,24.659506182275138,23.75446781268404,24.192604064941406,212818400,0.0,0.0
2015-01-05 00:00:00-05:00,23.962467451123523,24.042128572510556,23.325180168263614,23.51105499267578,257142000,0.0,0.0
2015-01-06 00:00:00-05:00,23.575233439406734,23.772173022582894,23.152586716885562,23.513275146484375,263188400,0.0,0.0
2015-01-07 00:00:00-05:00,23.721268759658745,23.94254925811913,23.61062851042855,23.842973709106445,160423600,0.0,0.0
2015-01-08 00:00:00-05:00,24.170475495010283,24.816614303203295,24.05319538405384,24.75908088684082,237458000,0.0,0.0
2015-01-09 00:00:00-05:00,24.931683117483658,25.060026262015647,24.387333080738237,24.7856388092041,214798000,0.0,0.0
2015-01-12 00:00:00-05:00,24.916189558785653,24.922827705158852,24.075324482860438,24.17490005493164,198603200,0.0,0.0
2015-01-13 00:00:00-05:00,24.657294735965763,24.960449733893075,24.099668425353194,24.389545440673828,268367600,0.0,0.0
2015-01-14 00:00:00-05:00,24.128432366224875,24.449288501616856,24.008940661725582,24.296606063842773,195826400,0.0,0.0
2015-01-15 00:00:00-05:00,24.340858200467093,24.354134491977135,23.601782043642775,23.63718605041504,240056000,0.0,0.0
2015-01-16 00:00:00-05:00,23.68366522717368,23.805370247264513,23.278721274766596,23.453533172607422,314053200,0.0,0.0
2015-01-20 00:00:00-05:00,23.86289682691998,24.112944961639695,23.566381661439586,24.05762481689453,199599600,0.0,0.0
2015-01-21 00:00:00-05:00,24.108515641336837,24.57541774452879,23.95804479734744,24.24128532409668,194303600,0.0,0.0
2015-01-22 00:00:00-05:00,24.39838715071099,24.887416828028247,24.278895484254317,24.87192726135254,215185600,0.0,0.0
2015-01-23 00:00:00-05:00,24.849807624202118,25.170663761693863,24.679420647171945,25.00027847290039,185859200,0.0,0.0
2015-01-26 00:00:00-05:00,25.16845201286075,25.305646576499495,24.960449421311633,25.026832580566406,222460000,0.0,0.0
2015-01-27 00:00:00-05:00,24.8763564222506,24.88963440186182,24.126215571319666,24.150556564331055,382274800,0.0,0.0
2015-01-28 00:00:00-05:00,26.029228465091716,26.13765714169229,25.515857696533203,25.515857696533203,585908400,0.0,0.0
2015-01-29 00:00:00-05:00,25.73935461660109,26.374430430207553,25.571180918654623,26.310258865356445,337745600,0.0,0.0
2015-01-30 00:00:00-05:00,26.19961743530487,26.55366597735562,25.856631907802715,25.925230026245117,334982000,0.0,0.0
2015-02-02 00:00:00-05:00,26.122162140760782,26.369995205493574,25.686239311668256,26.250503540039062,250956400,0.0,0.0
2015-02-03 00:00:00-05:00,26.221753324541577,26.352308079263526,26.02481370889302,26.254945755004883,207662800,0.0,0.0
2015-02-04 00:00:00-05:00,26.221749575393172,26.666524028239085,26.17970572360188,26.45630645751953,280598800,0.0,0.0
